statement national reference no: 922391, date: 31.08.2016, salesperiode: 01.08.2016-31.08.2016

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Mirrorball;Apple Music;1 / 0,008 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Google Play Subscription;1 / 0,006 / 0,005;0,00
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;Apple Music;1 / 0,008 / 0,007;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;Deezer;1 / 0,007 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;simfy;7 / 0,026 / 0,021;0,14
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;simfy;6 / 0,026 / 0,021;0,12
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;simfy;5 / 0,026 / 0,021;0,10
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;simfy;4 / 0,026 / 0,021;0,08
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;simfy;6 / 0,026 / 0,021;0,12
CD 06257;STOCK, TORBEN;Rocket;Angels s Song;TDC Play;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Cold Breeze;TDC Play;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Kiss Me Good Night;Spotify;34 / 0,005 / 0,004;0,13
CD 06257;STOCK, TORBEN;Rocket;Real Lights / Great Souls;TDC Play;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Rocket;TDC Play;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Tonight;Spotify;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Truth;TDC Play;2 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Cold Breeze;Spotify;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Conamara Instr,;TDC Play;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Kiss Me Good Night;TDC Play;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Rocket;Spotify;42 / 0,004 / 0,003;0,15
CD 06257;STOCK, TORBEN;Rocket;Sad Movie Song;TDC Play;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Tonight;TDC Play;1 / 0,008 / 0,006;0,01
CD 06257;STOCK, TORBEN;Rocket;Wolkenstein;TDC Play;1 / 0,008 / 0,006;0,01
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;At The Corner;Spotify;6 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Interlude;Spotify;2 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Riot;Spotify;4 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Stzar;Spotify;3 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Unlink;Spotify;2 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Autumn;Spotify;4 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Lowlight;Spotify;6 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;Siegfried;Spotify;3 / 0,000 / 0,000;0,00
CD 06258;OVERDRIVE AMP EXPLOSION ;Blanks;U;Spotify;3 / 0,000 / 0,000;0,00
CD 06261;OWLS OF THE SWAMP  ;Go With River;43;simfy;1 / 0,026 / 0,021;0,02
CD 06261;OWLS OF THE SWAMP  ;Go With River;By The Riverside;Apple Music;23 / 0,003 / 0,002;0,05
CD 06261;OWLS OF THE SWAMP  ;Go With River;By The Riverside;Spotify;34 / 0,005 / 0,004;0,13
CD 06261;OWLS OF THE SWAMP  ;Go With River;Go With River;Aspiro - Wimp;3 / 0,004 / 0,003;0,01
CD 06261;OWLS OF THE SWAMP  ;Go With River;Go With River;Spotify;28 / 0,004 / 0,004;0,10
CD 06261;OWLS OF THE SWAMP  ;Go With River;Here Comes The Wind;Aspiro - Wimp;3 / 0,004 / 0,003;0,01
