statement national reference no: 924136, date: 30.04.2017, salesperiode: 01.04.2017-30.04.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06261;Owls Of The Swamp;Go With River;Stones and Bones;Spotify;180;0,004;0,003;0,53
CD 06261;Owls Of The Swamp;Go With River;Tricks And Turns;Spotify;19;0,004;0,003;0,06
CD 06261;Owls Of The Swamp;Go With River;Walking Song;YouTube;2;0,003;0,003;0,01
CD 06261;Owls Of The Swamp;Go With River;43;Apple Music;1;0,006;0,005;0,00
CD 06261;Owls Of The Swamp;Go With River;43;YouTube;2;0,001;0,001;0,00
CD 06261;Owls Of The Swamp;Go With River;Go With River;Spotify;23;0,004;0,003;0,08
CD 06261;Owls Of The Swamp;Go With River;Here Comes The Wind;Spotify;25;0,004;0,003;0,08
CD 06261;Owls Of The Swamp;Go With River;Long May You Run;Spotify;36;0,004;0,004;0,13
CD 06261;Owls Of The Swamp;Go With River;Praying Mantis;Spotify;19;0,005;0,004;0,07
CD 06261;Owls Of The Swamp;Go With River;Pyramid;Apple Music;2;0,006;0,005;0,01
CD 06261;Owls Of The Swamp;Go With River;Pyramid;YouTube;1;0,009;0,007;0,01
CD 06261;Owls Of The Swamp;Go With River;Skywaters;Spotify;20;0,004;0,004;0,07
CD 06261;Owls Of The Swamp;Go With River;So Far Away;Spotify;73;0,004;0,003;0,25
CD 06261;Owls Of The Swamp;Go With River;Stones and Bones;Apple Music;2;0,005;0,004;0,01
CD 06261;Owls Of The Swamp;Go With River;Tricks And Turns;Apple Music;1;0,006;0,005;0,00
CD 06261;Owls Of The Swamp;Go With River;Walking Song;Spotify;30;0,004;0,003;0,10
CD 06263;Halla Nordfjörd;Melodica Compilation #2;Maybe;Deezer;1;0,006;0,005;0,00
CD 06263;Halla Nordfjörd;Melodica Compilation #2;Maybe;Spotify;124;0,002;0,002;0,24
CD 06263;Hello Piedpiper;Melodica Compilation #2;The Poet;Apple Music;16;0,005;0,004;0,06
CD 06263;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;122;0,003;0,002;0,30
CD 06263;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Apple Music;13;0,005;0,004;0,06
CD 06263;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Rhapsody/Napster;3;0,008;0,006;0,02
CD 06263;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;TIDAL;13;0,009;0,007;0,10
CD 06263;Jona Byron;Melodica Compilation #2;Dead Horse;Google Play Scan;1;0,000;0,000;0,00
CD 06263;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;43;0,002;0,002;0,07
CD 06263;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Apple Music;5;0,002;0,002;0,01
CD 06263;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Rhapsody/Napster;4;0,008;0,006;0,03
CD 06263;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;TIDAL;3;0,008;0,007;0,02
CD 06263;Lùisa;Melodica Compilation #2;Springrainair;Rhapsody/Napster;1;0,008;0,006;0,01
CD 06263;Lùisa;Melodica Compilation #2;Springrainair;TIDAL;7;0,010;0,008;0,06
CD 06263;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;1;0,000;0,000;0,00
CD 06263;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Google Subscription;17;0,009;0,007;0,12
CD 06263;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Rhapsody/Napster;10;0,008;0,006;0,06
CD 06263;Mighty Oaks;Melodica Compilation #2;When I Dream I See;TIDAL;31;0,011;0,009;0,28
CD 06263;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;42;0,002;0,002;0,08
CD 06263;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);YouTube;1;0,008;0,006;0,01
CD 06263;Njord;Melodica Compilation #2;Seldom Seen Sister;Rhapsody/Napster;1;0,008;0,006;0,01
CD 06263;Njord;Melodica Compilation #2;Seldom Seen Sister;TIDAL;6;0,010;0,008;0,05
CD 06263;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Rhapsody/Napster;1;0,008;0,006;0,01
CD 06263;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;TIDAL;8;0,010;0,008;0,06
