statement national reference no: 921519, date: 30.04.2016, salesperiode: 01.04.2016-30.04.2016

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06254;KID DECKER ;Your Kind;Reveries;Amazon;1 / 0,540 / 0,432;0,43
CD 06254;KID DECKER ;Your Kind;Stone Cold;Apple Music;1 / 0,010 / 0,008;0,01
CD 06254;KID DECKER ;Your Kind;Your Kind;Apple Music;7 / 0,008 / 0,006;0,04
CD 06254;KID DECKER ;Your Kind;Too Late;Google;1 / 0,013 / 0,011;0,01
CD 06254;KID DECKER ;Your Kind;Stone Cold;Google;1 / 0,013 / 0,011;0,01
CD 06254;KID DECKER ;Your Kind;Reveries;Napster;2 / 0,008 / 0,006;0,01
CD 06254;KID DECKER ;Your Kind;Reveries;iTunes;1 / 0,600 / 0,480;0,48
CD 06254;KID DECKER ;Your Kind;Dead Man s Walk;Amazon;1 / 0,540 / 0,432;0,43
CD 06254;KID DECKER ;Your Kind;Disposable;Amazon;1 / 0,540 / 0,432;0,43
CD 06254;KID DECKER ;Your Kind;Here We Are;Google;11 / 0,013 / 0,011;0,12
CD 06254;KID DECKER ;Your Kind;Look About Ready;Google;1 / 0,013 / 0,011;0,01
CD 06254;KID DECKER ;Your Kind;Look About Ready;TDC Play;2 / 0,006 / 0,005;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Easy In The Morning Sun;Deezer;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snail s Shell;Deezer;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Stones;Deezer;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Snakes;Deezer;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Seaman-Like;TDC Play;1 / 0,008 / 0,006;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;Paintbox;Deezer;1 / 0,013 / 0,011;0,01
CD 06255;BINOCULERS;Every Seaman s Got A Favourite Spaceship;On The Sun;Deezer;1 / 0,008 / 0,006;0,01
