statement national reference no: 925223, date: 30.09.2017, salesperiode: 01.09.2017-30.09.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
LP*13911;"4024572354978";LS0006LP;FRAU KRAUSHAAR ;Le Salon Is Very MorbidÃ¤;0;0;0;0;0;0;0


statement digital reference no: 925223, date: 30.09.2017, salesperiode: -


article no.;barcode;artist;title;track;shop;country;qty;dealer (average);net (average);total amount
7" 06271;4250137262710;Lonesome Station;Lonesome Station (+ CD);22h;Spotify;CH;1;0,005;0,004;0,004
7" 06271;4250137262710;Lonesome Station;Lonesome Station (+ CD);A Long Day;Spotify;BE;1;0,005;0,004;0,004
7" 06271;4250137262710;Lonesome Station;Lonesome Station (+ CD);A Long Day;Spotify;DE;5;0,004;0,003;0,016
7" 06271;4250137262710;Lonesome Station;Lonesome Station (+ CD);A Man Without a Back;Spotify;CH;4;0,005;0,004;0,017
7" 06271;4250137262710;Lonesome Station;Lonesome Station (+ CD);Just Look;Spotify;CH;1;0,005;0,004;0,004
7" 06271;4250137262710;Lonesome Station;Lonesome Station (+ CD);A Long Day;Apple Music;GB;1;0,011;0,009;0,009
7" 06271;4250137262710;Lonesome Station;Lonesome Station (+ CD);A Long Day;Spotify;CH;3;0,006;0,005;0,014
7" 06271;4250137262710;Lonesome Station;Lonesome Station (+ CD);A Man Without a Back;Spotify;BE;1;0,005;0,004;0,004
7" 06271;4250137262710;Lonesome Station;Lonesome Station (+ CD);Happy in the Dark;Apple Music;US;1;0,006;0,005;0,005
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Spotify;DE;3;0,003;0,003;0,008
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;FI;1;0,005;0,004;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;TR;2;0,001;0,001;0,001
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Apple Music;US;4;0,006;0,005;0,018
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;BR;7;0,001;0,001;0,008
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;NO;1;0,003;0,003;0,003
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Rhapsody / Napster;US;1;0,007;0,006;0,006
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Google Subscription;GB;2;0,008;0,006;0,012
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;GB;11;0,004;0,003;0,032
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;US;36;0,003;0,002;0,077
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Google Subscription;US;1;0,005;0,004;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;CH;2;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;PH;1;0,001;0,001;0,001
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;DE;3;0,003;0,002;0,007
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Google Subscription;US;1;0,005;0,004;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;IE;1;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Google Subscription;GB;1;0,008;0,006;0,006
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;GB;2;0,003;0,003;0,005
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;DE;7;0,002;0,002;0,013
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;PT;2;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;US;2;0,004;0,004;0,007
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;AU;3;0,004;0,003;0,009
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;MX;3;0,001;0,001;0,003
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Spotify;DE;3;0,003;0,002;0,007
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Google Subscription;GB;1;0,008;0,006;0,006
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;ES;5;0,003;0,003;0,013
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;SK;1;0,003;0,002;0,002
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;BG;1;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;NL;4;0,005;0,004;0,016
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Google Subscription;US;1;0,005;0,004;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;I Found You;Spotify;IE;1;0,005;0,004;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;FR;5;0,004;0,003;0,017
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;TW;1;0,002;0,002;0,002
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Google Subscription;GB;1;0,008;0,006;0,006
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;CA;18;0,002;0,002;0,031
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;NZ;1;0,004;0,004;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;AU;1;0,002;0,002;0,002
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Google Subscription;RU;1;0,003;0,002;0,002
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;HK;1;0,003;0,003;0,003
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;UY;2;0,004;0,003;0,006
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;DE;2;0,002;0,002;0,003
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;CZ;1;0,003;0,002;0,002
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;PL;6;0,001;0,001;0,005
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Start All Over;Spotify;MX;1;0,001;0,001;0,001
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;AR;2;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;IT;3;0,002;0,001;0,004
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Rhapsody / Napster;US;1;0,007;0,006;0,006
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;How Long Have I Been Sleeping?;Spotify;US;3;0,004;0,004;0,011
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;DK;1;0,000;0,000;0,000
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;SE;3;0,004;0,003;0,010
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;BE;1;0,003;0,002;0,002
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Meteorite;Spotify;MY;1;0,002;0,001;0,001
CD 05039;4250137250397;Owls of the Swamp;Meteorite EP;Skipping Stones;Spotify;DK;1;0,000;0,000;0,000
CD 05072;4250137250724;Joey Molinaro;Awash;The Saddest Clown;Google Subscription;HU;2;0,005;0,004;0,007
CD 05072;4250137250724;Joey Molinaro;Awash;Truer Woman;Spotify;BG;3;0,001;0,001;0,002
CD 05072;4250137250724;Joey Molinaro;Awash;Dance with Oedipus;Spotify;DE;1;0,002;0,002;0,002
CD 05072;4250137250724;Joey Molinaro;Awash;Portrait of a Failed Scene;Spotify;DE;1;0,002;0,002;0,002
CD 05072;4250137250724;Joey Molinaro;Awash;Tortoise, Hare and Skygazer;Spotify;BG;1;0,000;0,000;0,000
CD 05072;4250137250724;Joey Molinaro;Awash;Youthful Grey;Spotify;IT;2;0,000;0,000;0,001
CD 05072;4250137250724;Joey Molinaro;Awash;Dance with Oedipus;Spotify;US;9;0,004;0,003;0,025
CD 05072;4250137250724;Joey Molinaro;Awash;The Saddest Clown;Spotify;DE;2;0,002;0,002;0,003
CD 05072;4250137250724;Joey Molinaro;Awash;Truer Woman;Spotify;IT;2;0,000;0,000;0,001
CD 05072;4250137250724;Joey Molinaro;Awash;Texas Swing;Apple Music;GB;1;0,011;0,009;0,009
CD 05072;4250137250724;Joey Molinaro;Awash;Train Death;Google Subscription;HU;2;0,005;0,004;0,007
CD 05072;4250137250724;Joey Molinaro;Awash;Patriarch;Google Subscription;HU;3;0,005;0,004;0,011
CD 05072;4250137250724;Joey Molinaro;Awash;The Saddest Clown;Spotify;US;12;0,004;0,003;0,040
CD 05072;4250137250724;Joey Molinaro;Awash;Winged Luna;Google Subscription;HU;1;0,005;0,004;0,004
CD 05072;4250137250724;Joey Molinaro;Awash;Texas Swing;Spotify;DE;1;0,002;0,002;0,002
CD 05072;4250137250724;Joey Molinaro;Awash;Train Death;Spotify;DE;1;0,002;0,002;0,002
CD 05072;4250137250724;Joey Molinaro;Awash;Patriarch;Spotify;DE;1;0,002;0,002;0,002
CD 05072;4250137250724;Joey Molinaro;Awash;The White Bride´s Wooden Hand;Spotify;DE;1;0,002;0,002;0,002
CD 05072;4250137250724;Joey Molinaro;Awash;Winged Luna;Spotify;US;10;0,004;0,003;0,034
CD 05072;4250137250724;Joey Molinaro;Awash;Texas Swing;Spotify;US;10;0,004;0,003;0,031
CD 05072;4250137250724;Joey Molinaro;Awash;Truer Woman;Google Subscription;HU;2;0,005;0,004;0,007
CD 05072;4250137250724;Joey Molinaro;Awash;Dance with Oedipus;Spotify;BG;2;0,001;0,001;0,001
CD 05072;4250137250724;Joey Molinaro;Awash;Portrait of a Failed Scene;Google Subscription;HU;7;0,005;0,004;0,026
CD 05072;4250137250724;Joey Molinaro;Awash;Tortoise, Hare and Skygazer;Google Subscription;HU;1;0,005;0,004;0,004
CD 05072;4250137250724;Joey Molinaro;Awash;Youthful Grey;Spotify;BG;1;0,000;0,000;0,000
CD 05072;4250137250724;Joey Molinaro;Awash;The Saddest Clown;Spotify;BG;1;0,001;0,001;0,001
CD 05072;4250137250724;Joey Molinaro;Awash;Truer Woman;Spotify;DE;1;0,002;0,002;0,002
CD 05072;4250137250724;Joey Molinaro;Awash;Dance with Oedipus;Spotify;NO;1;0,005;0,004;0,004
CD 05072;4250137250724;Joey Molinaro;Awash;Portrait of a Failed Scene;Spotify;US;8;0,004;0,003;0,024
CD 05072;4250137250724;Joey Molinaro;Awash;Tortoise, Hare and Skygazer;Spotify;US;9;0,003;0,003;0,023
CD 05072;4250137250724;Joey Molinaro;Awash;Youthful Grey;Spotify;US;7;0,004;0,003;0,021
CD 05072;4250137250724;Joey Molinaro;Awash;Haunt;Spotify;US;6;0,003;0,002;0,015
CD 05072;4250137250724;Joey Molinaro;Awash;The Saddest Clown;Spotify;IT;1;0,000;0,000;0,000
CD 05072;4250137250724;Joey Molinaro;Awash;Truer Woman;Spotify;US;11;0,004;0,003;0,033
CD 05072;4250137250724;Joey Molinaro;Awash;Texas Swing;Google Subscription;HU;1;0,005;0,004;0,004
CD 05072;4250137250724;Joey Molinaro;Awash;Train Death;Spotify;BG;1;0,000;0,000;0,000
CD 05072;4250137250724;Joey Molinaro;Awash;Patriarch;Spotify;BG;1;0,000;0,000;0,000
CD 05072;4250137250724;Joey Molinaro;Awash;The White Bride´s Wooden Hand;Google Subscription;HU;10;0,005;0,004;0,037
CD 05072;4250137250724;Joey Molinaro;Awash;Winged Luna;Spotify;DE;1;0,002;0,002;0,002
CD 05072;4250137250724;Joey Molinaro;Awash;Texas Swing;Spotify;IT;2;0,000;0,000;0,001
CD 05072;4250137250724;Joey Molinaro;Awash;Train Death;Spotify;US;8;0,004;0,003;0,024
CD 05072;4250137250724;Joey Molinaro;Awash;Dance with Oedipus;Google Subscription;HU;2;0,005;0,004;0,007
CD 05072;4250137250724;Joey Molinaro;Awash;Patriarch;Spotify;US;8;0,004;0,003;0,027
CD 05072;4250137250724;Joey Molinaro;Awash;The White Bride´s Wooden Hand;Spotify;US;11;0,004;0,003;0,035
CD 05072;4250137250724;Joey Molinaro;Awash;Youthful Grey;Google Subscription;HU;1;0,005;0,004;0,004
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;A Few Questions to the World;Spotify;CZ;1;0,003;0,002;0,002
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;Ruin;Apple Music;CH;1;0,004;0,003;0,003
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;Disease;Spotify;ID;1;0,000;0,000;0,000
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;A Few Questions to the World;Spotify;GB;2;0,001;0,001;0,001
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;Ruin;Spotify;CH;19;0,005;0,004;0,070
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;A Few Questions to the World;Apple Music;CH;1;0,004;0,003;0,003
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;Hope;Google Subscription;CH;1;0,008;0,007;0,007
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;Disease;Apple Music;CH;2;0,008;0,007;0,013
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;The Founder;Google Subscription;CH;2;0,008;0,007;0,013
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;A Few Questions to the World;Google Subscription;CH;2;0,008;0,007;0,013
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;New Bounds;Google Subscription;CH;2;0,008;0,007;0,013
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;Disease;Google Subscription;CH;3;0,008;0,007;0,020
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;The Founder;Spotify;US;1;0,003;0,002;0,002
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;A Few Questions to the World;Spotify;CH;23;0,005;0,004;0,083
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;New Bounds;Spotify;TR;1;0,002;0,001;0,001
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;Disease;Spotify;GB;1;0,006;0,005;0,005
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;A Few Questions to the World;Spotify;DE;2;0,004;0,003;0,007
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;Ruin;Google Subscription;CH;6;0,008;0,007;0,040
CD 05141;4250137251417;Overdrive Amp Explosion;Bounds;Hope;Apple Music;CH;4;0,005;0,004;0,016
