statement national reference no: 924783, date: 31.07.2017, salesperiode: 01.07.2017-31.07.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;GR;9;0,002;0,001;0,012
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;IT;5;0,005;0,004;0,021
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;TIDAL;DE;16;0,011;0,008;0,136
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;AR;1;0,003;0,002;0,002
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Apple Music;DE;1;0,006;0,005;0,005
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;CA;1;0,002;0,002;0,002
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Spotify;SE;80;0,004;0,004;0,287
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;TIDAL;DE;6;0,011;0,008;0,051
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Spotify;FI;1;0,002;0,002;0,002
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;GB;10;0,002;0,002;0,016
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Spotify;ES;2;0,001;0,001;0,002
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Spotify;DE;20;0,003;0,002;0,046
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Spotify;DE;20;0,003;0,002;0,044
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;DE;31;0,003;0,003;0,082
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Spotify;BR;1;0,003;0,003;0,003
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;CH;3;0,008;0,007;0,020
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;FR;6;0,005;0,004;0,022
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;CL;5;0,001;0,001;0,004
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;CO;1;0,000;0,000;0,000
