DATE,RELEASE_ID,CDS,LPS,AMOUNT,TRANSACTION,CHANNEL,DESCRIPTION,Product
2018.04.03,LS00045,-105,,0,dispatch to Labelship,Brokensilence,stock return from distro to Label,Phia / The Ocean Of Everything
2018.04.03,LS00048,-35,,0,dispatch to Labelship,Brokensilence,stock return from distro to Label,Cinema Cinema / Man Bites Dog
2018.07.30,LS00051,-79,,0,stock-in,MPO,re-press,Ash Gray / Chicken Wire
2018.10.09,LS00036,-37,,0,stock-in,Steve ,stock from artist to label,Steve Allen / Wreck The Place
2018.10.09,LS00055,-27,,0,stock-in,Roods & Reeds,stock from artist to label,Roods And Reeds / The Loom Goes Click
2018.11.05,LS00011,-2,,0,dispatch to Labelship,Brokensilence,stock return from distro to Label,Kid Decker / Reveries EP
2018.11.05,LS00017,-1,,0,dispatch to Labelship,Brokensilence,stock return from distro to Label,Torben Stock / Rocket
2018.11.05,LS00021,-2,,0,dispatch to Labelship,Brokensilence,stock return from distro to Label,Overdrive Amp Explosion / Blanks
2018.11.05,LS00024,-34,,0,dispatch to Labelship,Brokensilence,stock return from distro to Label,Meike Schrader / Das Gruen In Deinen Augen
2018.11.05,LS00045,-54,,0,dispatch to Labelship,Brokensilence,stock return from distro to Label,Phia / The Ocean Of Everything
2018.11.23,LS00053,-69,,0,stock-in,CRAM duplication,stock-in,Soup Review - From The Bed To The Settee...
2018.11.23,LS00053,,-80,0,stock-in,MPO,stock-in,Soup Review - From The Bed To The Settee...
2018.01.26,LS00029,-100,,0,stock-in,Liz,stock from artist to label,Liz Hanley / The Ecstasy Of St Cecilia
2018.01.01,LS00032,-3,20,0,stock correction,Labelship,inventory,Frogbelly And Symphony / The EYE
2018.01.01,LS00039,-126,,0,stock correction,Labelship,inventory,Martin Bisi / Ex Nihilo
2018.01.01,LS00040,-10,,0,stock correction,Labelship,inventory,The Bone Lab / Fresh Meat
