statement national reference no: 925002, date: 31.08.2017, salesperiode: 01.08.2017-31.08.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06261;4250137262611;Owls Of The Swamp;Go With River;43;Spotify;FI;1;0,005;0,004;0,004
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Go With River;Spotify;GB;1;0,005;0,004;0,004
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Praying Mantis;Apple Music;DE;1;0,006;0,005;0,005
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Pyramid;Spotify;CH;3;0,005;0,004;0,011
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Skywaters;Spotify;CZ;1;0,001;0,001;0,001
CD 06261;4250137262611;Owls Of The Swamp;Go With River;So Far Away;Spotify;PL;1;0,002;0,002;0,002
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Stones and Bones;Spotify;BR;8;0,001;0,000;0,004
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Stones and Bones;Spotify;PL;4;0,001;0,001;0,003
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Walking Song;Google Subscription;AU;1;0,007;0,005;0,005
CD 06261;4250137262611;Owls Of The Swamp;Go With River;By The Riverside;Spotify;FR;1;0,002;0,002;0,002
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Long May You Run;Apple Music;RU;2;0,003;0,002;0,004
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Pyramid;Google Subscription;AU;1;0,007;0,005;0,005
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Pyramid;Spotify;PE;1;0,001;0,001;0,001
CD 06261;4250137262611;Owls Of The Swamp;Go With River;So Far Away;Spotify;DE;11;0,002;0,002;0,019
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Stones and Bones;Deezer;GB;3;0,007;0,005;0,016
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Stones and Bones;Spotify;GB;13;0,005;0,004;0,048
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Tricks And Turns;Spotify;AU;1;0,005;0,004;0,004
CD 06261;4250137262611;Owls Of The Swamp;Go With River;43;Spotify;GB;1;0,006;0,004;0,004
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Here Comes The Wind;Google Subscription;AU;1;0,007;0,005;0,005
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Praying Mantis;Google Subscription;GB;1;0,008;0,006;0,006
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Pyramid;Spotify;EC;3;0,002;0,001;0,004
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Skywaters;Spotify;FR;1;0,002;0,002;0,002
CD 06261;4250137262611;Owls Of The Swamp;Go With River;So Far Away;Spotify;TR;1;0,000;0,000;0,000
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Stones and Bones;Spotify;CH;3;0,003;0,003;0,008
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Stones and Bones;Spotify;SE;2;0,005;0,004;0,007
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Walking Song;Spotify;AU;3;0,005;0,004;0,012
CD 06261;4250137262611;Owls Of The Swamp;Go With River;By The Riverside;Spotify;IS;1;0,005;0,004;0,004
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Long May You Run;Google Subscription;GB;1;0,008;0,006;0,006
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Pyramid;Spotify;AR;1;0,003;0,002;0,002
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Pyramid;Spotify;PT;1;0,006;0,005;0,005
CD 06261;4250137262611;Owls Of The Swamp;Go With River;So Far Away;Spotify;FI;4;0,005;0,004;0,016
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Stones and Bones;Google Subscription;GB;1;0,008;0,006;0,006
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Stones and Bones;Spotify;IT;1;0,000;0,000;0,000
CD 06261;4250137262611;Owls Of The Swamp;Go With River;Tricks And Turns;Spotify;CZ;1;0,001;0,001;0,001
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;TIDAL;GB;2;0,017;0,014;0,028
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;DE;31;0,003;0,002;0,070
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;CH;7;0,006;0,005;0,034
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Apple Music;CH;1;0,013;0,010;0,010
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Deezer;DE;1;0,006;0,005;0,005
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;US;3;0,002;0,002;0,006
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Deezer;DE;3;0,006;0,005;0,014
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;ES;8;0,002;0,001;0,010
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Spotify;DE;15;0,004;0,003;0,042
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;AU;1;0,005;0,004;0,004
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Spotify;DE;17;0,003;0,002;0,037
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Spotify;BO;1;0,000;0,000;0,000
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Rhapsody / Napster;DE;2;0,007;0,006;0,012
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;BR;1;0,002;0,001;0,001
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;AT;2;0,011;0,009;0,017
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;GB;2;0,010;0,008;0,015
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;FR;1;0,000;0,000;0,000
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;iTunes;US;1;0,460;0,368;0,368
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Deezer;DE;2;0,005;0,004;0,009
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;SE;2;0,004;0,003;0,006
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;PT;1;0,001;0,001;0,001
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;DK;2;0,004;0,003;0,006
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Spotify;SE;71;0,004;0,003;0,222
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;AT;1;0,002;0,001;0,001
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;TIDAL;IL;1;0,011;0,009;0,009
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;TIDAL;IL;1;0,011;0,009;0,009
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);TIDAL;IL;1;0,011;0,009;0,009
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;NL;4;0,004;0,003;0,012
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Apple Music;AT;2;0,002;0,001;0,003
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;TIDAL;DE;3;0,010;0,008;0,025
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Spotify;US;3;0,002;0,001;0,004
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;US;1;0,001;0,001;0,001
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;AE;1;0,006;0,005;0,005
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;AT;24;0,002;0,001;0,033
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;NZ;13;0,004;0,003;0,042
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;TIDAL;NO;1;0,013;0,011;0,011
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;ES;7;0,002;0,001;0,010
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;ES;5;0,002;0,001;0,007
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Apple Music;US;3;0,006;0,005;0,015
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Spotify;CH;5;0,003;0,003;0,013
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;TIDAL;IL;1;0,011;0,009;0,009
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Rhapsody / Napster;DE;2;0,007;0,006;0,012
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;IS;1;0,003;0,002;0,002
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Spotify;GB;2;0,006;0,004;0,009
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;CH;3;0,004;0,003;0,010
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Spotify;GB;1;0,006;0,004;0,004
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Spotify;CH;1;0,006;0,005;0,005
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Spotify;CH;2;0,006;0,005;0,010
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;CL;1;0,001;0,001;0,001
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;CA;30;0,005;0,004;0,118
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;NL;1;0,006;0,005;0,005
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;GR;7;0,002;0,001;0,008
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Apple Music;AT;1;0,002;0,001;0,001
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;SE;1;0,003;0,003;0,003
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;AT;1;0,002;0,002;0,002
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Rhapsody / Napster;DE;1;0,007;0,006;0,006
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;US;7;0,004;0,003;0,021
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;US;5;0,003;0,002;0,011
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;GB;1;0,006;0,004;0,004
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;TIDAL;DE;4;0,010;0,008;0,033
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;BE;3;0,001;0,000;0,001
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Apple Music;DE;2;0,007;0,006;0,012
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Apple Music;US;3;0,006;0,005;0,015
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Apple Music;US;1;0,006;0,005;0,005
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Apple Music;CH;1;0,013;0,010;0,010
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Apple Music;CH;2;0,002;0,002;0,004
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Apple Music;CH;1;0,013;0,010;0,010
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;TIDAL;FI;1;0,014;0,011;0,011
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;TIDAL;IL;1;0,011;0,009;0,009
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;CA;7;0,002;0,001;0,009
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;CH;24;0,004;0,003;0,077
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;TIDAL;US;1;0,013;0,010;0,010
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;IS;4;0,003;0,003;0,011
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;GB;5;0,005;0,004;0,020
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Deezer;FR;1;0,006;0,005;0,005
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Spotify;ES;5;0,002;0,001;0,007
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Apple Music;DE;5;0,006;0,005;0,026
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Spotify;DE;30;0,003;0,002;0,064
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;NL;17;0,001;0,001;0,019
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Spotify;IT;1;0,000;0,000;0,000
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;DK;1;0,006;0,005;0,005
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Spotify;NZ;1;0,003;0,003;0,003
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Spotify;ES;5;0,002;0,001;0,007
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Spotify;DK;1;0,006;0,005;0,005
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;DK;1;0,006;0,005;0,005
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;DE;35;0,007;0,005;0,188
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;PL;4;0,004;0,003;0,012
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;IT;5;0,001;0,001;0,005
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Apple Music;DE;4;0,007;0,005;0,021
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;US;15;0,004;0,003;0,043
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;BR;3;0,003;0,003;0,008
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;AU;11;0,005;0,004;0,040
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;TIDAL;IL;1;0,011;0,009;0,009
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);TIDAL;IL;1;0,011;0,009;0,009
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;NL;5;0,004;0,003;0,015
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Apple Music;CH;1;0,002;0,002;0,002
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;CH;7;0,005;0,004;0,026
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Rhapsody / Napster;DE;1;0,007;0,006;0,006
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Google Play Scan;GB;2;0,000;0,000;0,000
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Rhapsody / Napster;DE;1;0,007;0,006;0,006
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Apple Music;US;4;0,006;0,005;0,020
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Apple Music;US;2;0,006;0,005;0,010
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Apple Music;US;1;0,006;0,005;0,005
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;TIDAL;PL;2;0,003;0,003;0,005
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Amazon cloud introductory;US;8;0,000;0,000;0,000
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;DE;122;0,005;0,004;0,471
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;CZ;1;0,003;0,002;0,002
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Apple Music;AU;1;0,020;0,016;0,016
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;NL;4;0,004;0,003;0,012
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;IT;1;0,000;0,000;0,000
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;CA;1;0,003;0,003;0,003
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Spotify;IT;1;0,000;0,000;0,000
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Deezer;DE;5;0,005;0,004;0,021
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Spotify;ES;5;0,001;0,001;0,004
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;TW;1;0,001;0,001;0,001
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Spotify;NZ;1;0,003;0,003;0,003
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;FI;1;0,003;0,003;0,003
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;TIDAL;DE;2;0,010;0,008;0,016
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Spotify;NL;1;0,004;0,003;0,003
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Spotify;GB;1;0,006;0,004;0,004
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;FR;1;0,002;0,002;0,002
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;GB;2;0,007;0,005;0,011
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Google Play Scan;DE;1;0,000;0,000;0,000
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;MX;1;0,002;0,002;0,002
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Apple Music;US;2;0,006;0,005;0,010
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;TIDAL;DE;8;0,010;0,008;0,066
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;CH;3;0,006;0,005;0,015
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;CA;2;0,003;0,003;0,005
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Apple Music;AT;1;0,002;0,001;0,001
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Apple Music;US;1;0,006;0,005;0,005
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;TW;2;0,002;0,001;0,003
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Apple Music;US;5;0,006;0,005;0,025
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;DK;1;0,006;0,005;0,005
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Spotify;CZ;1;0,001;0,001;0,001
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;AT;2;0,000;0,000;0,001
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Spotify;CH;1;0,006;0,005;0,005
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Rhapsody / Napster;DE;2;0,007;0,006;0,012
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Deezer;PL;1;0,000;0,000;0,000
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Rhapsody / Napster;DE;1;0,007;0,006;0,006
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Amazon Music Unlimited;US;3;0,012;0,009;0,028
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;FR;25;0,005;0,004;0,104
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;ES;15;0,002;0,002;0,029
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Google Subscription;PL;1;0,003;0,003;0,003
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Apple Music;DE;2;0,007;0,006;0,012
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;PL;4;0,001;0,001;0,005
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;NZ;1;0,003;0,003;0,003
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;DE;111;0,003;0,002;0,265
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Spotify;NL;1;0,004;0,003;0,003
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Rhapsody / Napster;DE;1;0,007;0,006;0,006
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;TIDAL;DE;3;0,010;0,008;0,025
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;TIDAL;DE;1;0,010;0,008;0,008
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);TIDAL;DE;2;0,010;0,008;0,016
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;IS;5;0,004;0,003;0,017
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Amazon cloud premium;US;1;0,001;0,001;0,001
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Spotify;US;2;0,003;0,002;0,004
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Spotify;TW;1;0,001;0,001;0,001
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;PT;2;0,003;0,002;0,004
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;US;12;0,006;0,005;0,057
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Rhapsody / Napster;FR;5;0,007;0,006;0,030
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;NO;15;0,005;0,004;0,060
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;TIDAL;IL;1;0,011;0,009;0,009
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;DK;3;0,004;0,003;0,010
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;DE;30;0,003;0,002;0,063
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Apple Music;DE;6;0,006;0,005;0,030
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Rhapsody / Napster;DE;2;0,007;0,006;0,012
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;TIDAL;DE;4;0,010;0,008;0,033
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Google Subscription;GB;1;0,008;0,006;0,006
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;GB;2;0,005;0,004;0,007
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Spotify;ES;9;0,002;0,002;0,016
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;CA;1;0,003;0,003;0,003
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Spotify;ES;6;0,002;0,002;0,010
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Spotify;BR;1;0,003;0,003;0,003
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Spotify;AT;1;0,002;0,002;0,002
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;CH;3;0,000;0,000;0,000
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;AU;1;0,006;0,005;0,005
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;IT;3;0,002;0,001;0,004
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;GB;14;0,004;0,003;0,042
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Rhapsody / Napster;DE;3;0,007;0,006;0,018
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Deezer;GB;1;0,006;0,005;0,005
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;TW;1;0,001;0,001;0,001
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;SE;1;0,005;0,004;0,004
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Spotify;ES;11;0,002;0,002;0,021
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Spotify;US;1;0,001;0,001;0,001
