DATE,RELEASE_ID,CDS,LPS,AMOUNT,TRANSACTION,CHANNEL,DESCRIPTION,Product
2019.01.14,LS00056,1,,13.08,sale,Bandcamp,CD sale Blaise Arthur,Rad Orchestra
2019.01.15,LS00053,,1,17.54,sale,Bandcamp,Vinyl sale Josh Crowle,Soup Review / From The Bed To The Settee..
2019.01.22,LS00056,1,,11.41,sale,Labelship,direct sale,Rad Orchestra
2019.01.31,LS00029,,,5.15,sale,Bandcamp,download,Liz Hanley / The Ecstasy of St. Cecilia
2019.01.26,LS00006,,1,13.09,sale,Bandcamp,vinyl sale Kristof Albertijn,Frau Kraushaar / Le Salon Is Very Morbidae
2019.02.09,LS00056,1,,17.45,sale,Bandcamp,CD sale Alan Ingram,Rad Orchestra
2019.02.27,LS00002,,1,8.03,sale,Labelship,Gastro Vinyl Bristol,Xrfarflight / The Early Bird..
2019.02.27,LS00005,,1,8.03,sale,Labelship,Gastro Vinyl Bristol,Dear John Letter / Between Leaves | Forestal
2019.02.27,LS00006,,1,8.03,sale,Labelship,Gastro Vinyl Bristol,Frau Kraushaar / Le Salon Is Very Morbidae
2019.02.27,LS00048,,1,8.03,sale,Labelship,Gastro Vinyl Bristol,Cinema Cinema / Man Bites Dog
2019.02.27,LS00039,,2,16.06,sale,Labelship,Gastro Vinyl Bristol,Martin Bisi / Ex Nihilo
2019.02.27,LS00051,,1,8.03,sale,Labelship,Gastro Vinyl Bristol,Ash Gray / Chicken Wire
2019.02.27,LS00041,,1,8.03,sale,Labelship,Gastro Vinyl Bristol,Frogbelly And Symphony / Blue Bright Ow Sleep
2019.03.06,LS00053,,,5.17,sale,Bandcamp,download,Soup Review / From The Bed To The Settee..
2019.03.15,LS00051,,,0.65,sale,Bandcamp,single track download,Ash Gray / Chicken Wire
2019.03.19,LS00029,,,4.89,sale,Bandcamp,download,Liz Hanley / The Ecstasy of St. Cecilia
2019.03.19,LS00049,,,0.74,sale,Bandcamp,download,Joey Molinaro / Awash
2019.04.10,LS00053,,1,17.79,sale,Bandcamp,Vinyl sale Lauren Stone,Soup Review / From The Bed To The Settee..
2019.04.10,LS00056,,,13.87,sale,Bandcamp,download sales,Rad Orchestra
2019.05.01,LS00001,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Astrid's Farm / Cyclist
2019.05.01,LS00002,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Xrfarflight / The Early Bird..
2019.05.01,LS00004,2,,5,sale,Label Box,"A House With No Name, Columbus OH",Emmy Moll / All The Monsters..
2019.05.01,LS00005,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Dear John Letter / Between Leaves | Forestal
2019.05.01,LS00006,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Frau Kraushaar / Le Salon Is Very Morbidae
2019.05.01,LS00007,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Introducing Labelship
2019.05.01,LS00011,2,,1,sale,Label Box,"A House With No Name, Columbus OH",Kid Decker / Reveries
2019.05.01,LS00015,2,,3,sale,Label Box,"A House With No Name, Columbus OH",Dear John Letter / Part & Fragment
2019.05.01,LS00018,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Kid Decker / Your Kind
2019.05.01,LS00027,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Nikolai Wilckens / Stories The Sea..
2019.05.01,LS00030,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Outroads / I Am Happy
2019.05.01,LS00033,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Outroads / Only the Lonely?
2019.05.01,LS00035,1,,1,sale,Label Box,"A House With No Name, Columbus OH",Lonesome Station / Lonesome Station
2019.05.01,LS00037,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Martin bisi / Sirens Of The Apocalypse
2019.05.01,LS00041,2,,6,sale,Label Box,"A House With No Name, Columbus OH",Frogbelly And Symphony / Blue Bright Ow Sleep
2019.05.01,LS00042,1,,1,sale,Label Box,"A House With No Name, Columbus OH",Lonesome Station / Current Space
2019.05.01,LS00045,1,,3,sale,Label Box,"A House With No Name, Columbus OH",Phia / The Ocean Of Everything
2019.05.01,LS00004,1,2,13,sale,direct sale,"Spinning Discs, Sheffield UK",Emmy Moll / All The Monsters..
2019.05.01,LS00009,1,,3,sale,Label Box,"Spinning Discs, Sheffield UK",Binoculers / Every Seaman..
2019.05.01,LS00044,1,,3,sale,Label Box,"Spinning Discs, Sheffield UK",Steel City Rhythm / Free Love & Fighting
2019.05.01,LS00037,1,,3,sale,Label Box,"Spinning Discs, Sheffield UK",Martin bisi / Sirens Of The Apocalypse
2019.05.01,LS00053,1,,3.5,sale,Label Box,"Spinning Discs, Sheffield UK",Soup Review / From The Bed To The Settee..
2019.05.01,LS00048,1,,3.5,sale,Label Box,"Spinning Discs, Sheffield UK",Cinema Cinema / Man Bites Dog
2019.05.01,LS00020,,1,5,sale,direct sale,"Spinning Discs, Sheffield UK",Easy Tiger / Overdrive Amp Explosion
2019.05.01,LS00002,,1,6,sale,Labelship,direct sale,Xrfarflight / The Early Bird..
2019.05.01,LS00053,,1,6,sale,Labelship,direct sale,Soup Review / From The Bed To The Settee..
2019.05.01,LS00044,1,,5,sale,Label Box,"The Rude Shipyard, Sheffield",Steel City Rhythm / Free Love & Fighting
2019.05.01,LS00009,1,,5,sale,Label Box,"Café #9, Sheffield",Binoculers / Every Seaman..
2019.05.01,LS00048,1,,5,sale,Label Box,"Café #9, Sheffield",Cinema Cinema / Man Bites Dog
2019.05.01,LS00037,1,,5,sale,Label Box,"Café #9, Sheffield",Martin bisi / Sirens Of The Apocalypse
