statement national reference no: 928740, date: 31.01.2019, salesperiode: 01.01.2019-31.01.2019

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06253;4250137262536;Dear John Letter;Part And Fragment;The Silver Ring of the Bell;DET720900696;Deezer;Stream;Brazil;1;0,000;0,000;0,000
CD 06254;4250137262543;Kid Decker;Your Kind;Stone Cold;DENP21000024;UMA;Stream;Russia;2;0,000;0,000;0,000
CD 06254;4250137262543;Kid Decker;Your Kind;Reveries;DENP21000001;iTunes/Apple;Stream;Germany;2;0,005;0,004;0,007
CD 06254;4250137262543;Kid Decker;Your Kind;Look About Ready;DENP21000018;iTunes/Apple;Stream;Germany;2;0,005;0,004;0,007
CD 06254;4250137262543;Kid Decker;Your Kind;Here We Are;DENP21000026;Google Play;Stream;United Kingdom;4;0,008;0,007;0,027
CD 06254;4250137262543;Kid Decker;Your Kind;Dead Man´s Walk;DENP21000020;UMA;Stream;Russia;1;0,000;0,000;0,000
CD 06254;4250137262543;Kid Decker;Your Kind;Your Kind;DENP21000022;iTunes/Apple;Stream;Germany;1;0,001;0,001;0,001
CD 06254;4250137262543;Kid Decker;Your Kind;Dead Man´s Walk;DENP21000020;Google Play;Stream;Germany;1;0,005;0,004;0,004
CD 06254;4250137262543;Kid Decker;Your Kind;The Munchkins;DENP21000017;iTunes/Apple;Stream;USA;1;0,000;0,000;0,000
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Easy in the Morning Sun;DENP21000029;Amazon Digital Services Inc,;Stream;Germany;14;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Stones;DENP21000030;iTunes/Apple;Stream;Germany;3;0,009;0,007;0,020
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Paintbox;DENP21000037;Deezer;Stream;Germany;2;0,006;0,005;0,010
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;DENP21000038;iTunes/Apple;Stream;Germany;3;0,009;0,007;0,020
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Snail´s Shell;DENP21000028;Amazon Digital Services Inc,;Stream;Germany;14;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Mirrorball;DENP21000035;Amazon Digital Services Inc,;Stream;Germany;9;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Chestnuts;DENP21000036;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Stones;DENP21000030;Amazon Digital Services Inc,;Stream;Germany;14;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Paintbox;DENP21000037;Amazon Digital Services Inc,;Stream;Germany;14;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Grape-Shaped Dream;DENP21000038;Amazon Digital Services Inc,;Stream;Germany;14;0,000;0,000;0,001
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Seaman-Like;DENP21000034;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Lions;DENP21000027;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Chestnuts;DENP21000036;iTunes/Apple;Stream;Germany;4;0,007;0,006;0,023
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Snakes;DENP21000032;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;On the Sun;DENP21000031;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Easy in the Morning Sun;DENP21000029;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Your Favourite Spaceship;DENP21000033;iTunes/Apple;Stream;USA;1;0,008;0,006;0,006
CD 06255;4250137262550;Binoculers;Every Seaman s Got A Favourite Spaceship;Seaman-Like;DENP21000034;iTunes/Apple;Stream;Germany;3;0,009;0,007;0,020
